input_text,output_json
I work at Target from 2 PM to 10 PM Monday through Friday. Need all my classes in the morning. Looking for ENC1101 and MAT1033.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Only available Tuesdays and Thursdays. Prefer afternoon classes. Need to take PSY2012 and SPC1017.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""4:59""}]}"
I'm a single mom and can only do classes while my kids are in school. Nothing before 9 AM or after 2 PM please. Need AMH2020.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""14:00""}]}"
No Friday classes. I commute an hour each way so I'd like to stack everything on two days if possible.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Sat""], ""time_blocks"": []}"
I work nights so no classes before noon. Prefer online if available. Looking for CGS1060 and ENC1102.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""22:00""}]}"
Please schedule me for MWF mornings only. I have a part-time job in the afternoons.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
"I need MAC1105, CHM1045, and BSC1010. Prefer everything before 3 PM. No online classes please.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:59""}]}"
Tuesday/Thursday schedule preferred. Nothing earlier than 11 AM. I need STA2023.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""11:00"", ""end"": ""22:00""}]}"
Working full-time so evenings and weekends only. Looking for online sections of ENC1101 and CGS1060.,"{""preferred_days"": [""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
No classes after 4 PM. I coach little league. Need COP2220 and MAC2311.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""15:59""}]}"
Night owl here. Nothing before 10 AM please. T/Th preferred. Need HUM2020.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""22:00""}]}"
I carpool with my sister so we need the same schedule. T/Th 9 AM to 2 PM window. I need SPN1120.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:00""}]}"
Morning person. Give me the earliest classes you have. MWF preferred. Looking for MAC1140.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I work retail with rotating schedules but Thursdays are always off. Can I get all my classes on Thursday?,"{""preferred_days"": [""Thu""], ""time_blocks"": []}"
Need to be done by 1 PM every day for my internship. Taking COP1000 and ENC1101.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""13:00""}]}"
I have anxiety about night driving so nothing after 5 PM. Any day works. Need REL2300.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""16:59""}]}"
Tuesdays and Thursdays only. 10 AM to 4 PM is my window. Looking for SOP3004 and EXP3202.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""16:00""}]}"
I babysit my nephew MWF so only T/Th classes please. Need MAC1105 and PSY2012.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
No 8 AMs. I literally cannot function that early. T/Th afternoon preferred. Need THE2000.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""16:59""}]}"
I'm training for a marathon and run mornings. Classes after 11 AM please. Looking for ANT2000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""11:00"", ""end"": ""22:00""}]}"
Prefer hybrid classes. In-person once a week is fine. Need COP2800 and CDA3103.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Night classes only. I work 7 AM to 3 PM. Looking for GEO1200 and EVR1001.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
"Can only do Monday, Wednesday, Friday between 10 AM and 2 PM. Need STA2023 and ECO2023.","{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""14:00""}]}"
I'm Deaf and need classes with interpreters available. Prefer morning T/Th. Taking ASL2140.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Online asynchronous only. I'm a caregiver for my grandmother. Need PHI2010 and REL2300.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Wednesdays completely off please. I volunteer at the animal shelter. Need CHM1045L and BSC1010L.,"{""preferred_days"": [""Mon"", ""Tue"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
"I drive for Uber afternoons and evenings. Morning classes only, any day. Looking for MAN2021.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Super flexible schedule. Just don't give me 8 AMs. Need to take six classes this semester.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""22:00""}]}"
I can only take classes before 12pm or after 5pm. Need EDF1005.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}, {""start"": ""17:00"", ""end"": ""22:00""}]}"
T/Th strongly preferred. Anytime before 11AM or in the evenings. Looking for MUS1010 and ART1012.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}, {""start"": ""17:00"", ""end"": ""22:00""}]}"
My job schedule changes weekly but I always have mornings free. Classes before noon only. Need CGS2545.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I have three kids under five. Online only or I can't do this. Need SYG2000 and DEP2004.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I get migraines in bright afternoon sun. Morning or evening only please. Looking for CRW2001.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}, {""start"": ""17:00"", ""end"": ""22:00""}]}"
MWF schedule with no gaps between classes. 9 AM to 1 PM range. Need MAC2311 and PHY2048.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""13:00""}]}"
I live 45 minutes away. T/Th only to save on gas. Taking CHM1046 and CHM1046L.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
No Mondays. I have custody of my daughter on Sundays and need recovery time. Need PSY2012.,"{""preferred_days"": [""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I'm a restaurant server. Lunch shifts are busiest so no classes 11 AM to 2 PM. Taking HOS1010.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""10:59""}, {""start"": ""14:00"", ""end"": ""22:00""}]}"
Saturday classes are fine if they exist. I work weekdays. Need MAC1105.,"{""preferred_days"": [""Sat""], ""time_blocks"": []}"
I'm on the baseball team. No classes during practice 2-5 PM daily. Looking for ENC1101 and STA2023.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""13:59""}, {""start"": ""17:00"", ""end"": ""22:00""}]}"
"Nursing prerequisites only. Need BSC2085, BSC2085L, and CHM1045. Morning preferred.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I'm visually impaired and need time between classes to navigate campus. No back-to-back please.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Online synchronous is fine but asynchronous preferred. Night owl schedule. Need COP1000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
I work construction 6 AM to 2:30 PM. Classes starting 4 PM or later. Taking BCN1251.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""16:00"", ""end"": ""22:00""}]}"
Please give me a consistent schedule. Same times every day if possible. Need three gen eds.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I share a car with my mom. She works until 5 PM so evening classes only. Looking for SPN1121.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
Avoid Fridays entirely. I go home on weekends. Need ENC1101 and MAC1140.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Sat""], ""time_blocks"": []}"
I have ADHD and focus better in mornings. Nothing after 1 PM please. Taking PSY2012 and SOP3004.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""13:00""}]}"
"T/Th 8 AM works for me. Pack them in early. Need to take CHM1045, PHY2053, and MAC2312.","{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""08:00"", ""end"": ""11:59""}]}"
I do drag on weekends so Friday nights are out. Weekday mornings work. Looking for THE2000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I'm pregnant and due in March. All online please for flexibility. Need SYG2000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Night shift nurse. Nothing before 2 PM. T/Th preferred. Taking RET2934.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""14:00"", ""end"": ""22:00""}]}"
I coach youth soccer T/Th afternoons. MWF only please. Need PET2622 and EXP3540.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": []}"
My anxiety is worse in crowded classes. Smaller sections preferred. Morning T/Th. Need PSY2012.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
"I have dialysis Monday, Wednesday, Friday mornings. Afternoon or T/Th only. Looking for ENC1102.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""16:59""}]}"
I'm a DJ and work Thursday-Saturday nights. Daytime classes only. Need MUM1600.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""16:59""}]}"
Full-time mom returning to school. Online only. Asynchronous. Need ENC1101 and MAT0028.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
"I swim competitively. Morning practice 5-7 AM, afternoon 3-5 PM. Classes 9 AM-2 PM only.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""14:00""}]}"
Trying to do accelerated nursing. Need all sciences with labs. Morning MWF works.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Work at Amazon warehouse 4 PM to midnight. Morning classes only. Taking LOG1013 and TRA1012.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I take the bus and the schedule is terrible after 6 PM. Nothing too late. Need CGS1060.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""17:59""}]}"
My wife and I are both students. We need opposite schedules for childcare. I need T/Th mornings.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I have a learning disability and need extra time between exams. Space out my classes please.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
"Looking for the easiest schedule possible. No early mornings, no Friday, preferably online.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Sat""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""22:00""}]}"
I work from home so online classes fit best. Need CIS2930 and CNT1401.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Religious observance on Saturdays. No Saturday classes. Need to take a Saturday lab but can't.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
I'm a veteran and have VA appointments every other Thursday at 10 AM. Schedule around those.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Night classes give me the creeps walking to my car. Nothing after 5 PM. Taking ENC1101.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""16:59""}]}"
Super senior trying to graduate. Need specific sections of COP4020 and COP4610. T/Th preferred.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
I livestream 6-10 PM daily. Morning classes only please. Looking for DIG2930.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I have a standing therapy appointment Wednesday at 3 PM. Work around that. Need PSY2012.,"{""preferred_days"": [""Mon"", ""Tue"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Dual enrollment student. Need classes that end by 1 PM so I can get back to high school.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""13:00""}]}"
I work at Publix 4 PM to close most days. Morning schedule preferred. Taking HUN1201.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
In recovery. Need to attend meetings T/Th evenings. Classes those mornings only. Looking for SOP3004.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I'm a mom of twins in preschool. 9 AM to 2 PM window only. Need EDF2005 and CHD1220.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""14:00""}]}"
Work at a call center 8-5. Evening or online only. Need BUL2241 and MAN3025.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
I faint in hot weather. No outdoor walking between buildings in the afternoon. Morning or online.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Just need two classes to graduate. COP4930 and CEN4010. Any schedule works.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I ref youth basketball Saturday mornings. No Saturday classes. Looking for PEL1111.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
My husband deploys next month. Online classes so I can manage solo parenting. Need three credits.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I have a toddler. Classes only during daycare hours 8 AM to 5 PM. Need EDF1005 and EME2040.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""08:00"", ""end"": ""17:00""}]}"
Trying to work 30 hours a week. Condense classes to T/Th if possible. Taking ACG2071.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
I get drowsy from my medication around 2 PM. Morning classes please. Need PHI2010.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""13:59""}]}"
Looking for an accelerated format. 8-week classes preferred. Need MAR3023 and GEB3031.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I wake up at 4 AM naturally. Give me all the 8 AMs you have. MWF preferred.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""08:00"", ""end"": ""11:59""}]}"
Part-time student. Only taking one class. Online ENC1101 preferred.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I have an hour commute. Stack everything on MW or T/Th to minimize trips.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu""], ""time_blocks"": []}"
I work at Disney on weekends. Weekday classes only. Need HFT1000 and HFT2220.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
Taking 18 credits this semester. Need help fitting everything. Prefer morning heavy schedule.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:00""}]}"
I babysit after school. Nothing after 2:30 PM. Need SPC1017 and COM2461.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:30""}]}"
"Single dad. Kids get on bus at 8 AM, off at 3 PM. Classes 9-2 only. Taking ECO2013.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""14:00""}]}"
I play in a band. We practice T/Th nights. Those evenings off please. Need MUT1111.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""16:59""}]}"
Online preferred but I'll do in-person if needed. Work from home. Looking for CGS2100.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I work at a salon Tuesdays and Saturdays. Other days free. Need COS1000.,"{""preferred_days"": [""Mon"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
