input_text,output_json
My car is unreliable. Minimize trips to campus. Need ENC1101 and MAT1033 same days.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Returning student after 10 years. Ease me in with morning M/W. Need MAT0028.,"{""preferred_days"": [""Mon"", ""Wed""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I have bad insomnia. No 8 AMs. Nothing starts before 10 AM. Looking for LIT2000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""22:00""}]}"
I work nights at a hospital. Classes before 3 PM. Need HSC2531 and HUN2201.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:59""}]}"
Tri-athlete training 5-8 AM and 4-7 PM. Midday classes only. Taking PEP2024.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""15:00""}]}"
I'm legally blind. Need time for mobility between buildings. Spread out classes.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Full-time CNA. Only available T/Th 9 AM to 1 PM. Need HSC1149.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""13:00""}]}"
My son has autism. I need flexibility for therapy appointments. Online preferred.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I'm a gig worker. Flexible but mornings are usually slower so morning classes work.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
International student. Prefer smaller classes to practice English. Need ENC1101.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I have seasonal affective disorder. Morning classes with windows please. Winter semester.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Barista hours 5 AM to 1 PM. Afternoon classes starting 3 PM. Need HFT2270.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""15:00"", ""end"": ""22:00""}]}"
"Single mom, two jobs. Saturday and online only. Need POS2041.","{""preferred_days"": [""Sat""], ""time_blocks"": []}"
I work at a gym 5-11 AM. Afternoon only. Looking for PET2084 and PET2622.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""16:59""}]}"
Anxiety makes large lectures hard. Smaller sections or online. Need PSY2012.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I tutor after school. Nothing after 2 PM M-F. Taking MAT1033 and ENC1101.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:00""}]}"
Night security guard. Day classes only. Prefer T/Th. Need CJL2500.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""16:59""}]}"
Theater rehearsals 6-10 PM daily. Morning classes please. Looking for THE2020 and TPP1110.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I'm in Army Reserve. One weekend a month plus two weeks in summer off. Plan around that.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
My mother has cancer. Online classes for flexibility. Need SYG2010 and SOP3004.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I work on a fishing boat. Out for days at a time. Asynchronous online only.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
"Law school hopeful. Heavy course load T/Th. Need POS2041, PHI2100, and ENC1102.","{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
Recovering from surgery. Online for fall semester. Need BSC1010 and CHM1045 if available.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I code for Doordash at night. Morning classes. Need COP1000 and COP2220.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
EMT student. Clinical rotations are random. Most flexible schedule possible.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I teach yoga at 6 AM and 5 PM. Midday classes only. Taking HUN1201.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""16:00""}]}"
Work at an accounting firm. Busy season means evening classes only Jan-April.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
Stay at home dad. Kid's in school 8:30-3. Classes in that window. Need MAR2011.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""08:30"", ""end"": ""15:00""}]}"
I volunteer at hospital Tuesday mornings. Avoid that time. Need HSA4150.,"{""preferred_days"": [""Mon"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I walk dogs 7 AM-noon. Afternoon classes. Looking for ANT2410.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""16:59""}]}"
Chronic fatigue syndrome. No early mornings. Midday T/Th ideal. Need SYG2000.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""14:00""}]}"
I work at a movie theater. Late nights Fri-Sun. Weekday mornings only.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Photography gigs on weekends. No weekend classes. Need PGY2401C.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
I have young kids and a night job. Online synchronous evenings work. Need ACG2021.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""19:00"", ""end"": ""22:00""}]}"
"Pre-med track. Need BSC2085, CHM1045, and MAC2311. MWF mornings preferred.","{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I nanny 7 AM to 6 PM daily. Evening or online. Taking CHD3210.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""18:00"", ""end"": ""22:00""}]}"
Commuter from Orlando. Minimize campus days. T/Th heavy schedule.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
Musician. Gigs unpredictable. Online and asynchronous needed. Looking for MUH2019.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I drive a school bus. Available 10 AM-2 PM only. Need EDF2085.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""10:00"", ""end"": ""14:00""}]}"
Work from home tech job. Flexible but avoid meeting-heavy Tuesday afternoons.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Soccer mom. School runs 7:30 AM and 3 PM. 9 AM-2 PM window. Need three gen eds.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""14:00""}]}"
I have PTSD and crowds trigger me. Smaller sections. No large lecture halls.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Pharmacy tech. Work 2-10 PM. Morning classes only. Taking PHR1506.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I freelance write. Flexible but prefer structure. MWF mornings. Need JOU2100.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Night shift warehouse. Classes before 4 PM. Need TRA2012 and LOG2013.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""15:59""}]}"
I foster kids. Online only for emergency flexibility. Need SYA4330.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Wedding photographer. Weekends blocked. Weekday anything. Taking PGY2110.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
I care for my elderly father. He has aide 9-3 daily. Classes then. Need SOW4620.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""15:00""}]}"
Uber driver. Evenings are prime time. Morning classes. Looking for ECO2023.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I have chronic pain. Afternoon is my best time. T/Th 1-5 PM. Need PSY2012.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""13:00"", ""end"": ""17:00""}]}"
Trying to graduate early. 21 credits this semester. Need help fitting it all.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I work retail with no consistent schedule. Online asynchronous only. Need GEB3031.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Stay at home mom. Baby naps 1-3 PM. Online during those hours. Taking SYG2000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""13:00"", ""end"": ""15:00""}]}"
I work at a vet clinic. MWF 8-5. T/Th classes only. Need ANS1002.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
My kid has soccer practice T/Th at 4. Classes before that. Need MAT1033.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""15:59""}]}"
I'm a substitute teacher. Random schedule. Online preferred. Looking for EDF3521.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Recovering gambling addict. Avoid night classes near casinos. Morning preferred.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
I work graveyard shift. Nothing before noon. T/Th ideal. Need COP2220.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""22:00""}]}"
"Church on Sunday, Wednesday night. Everything else open. Need REL2300.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Single income family. Working two jobs. Online only. Need MAN2021.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I have IBS and need easy bathroom access. No large lecture halls. Smaller classes.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Hair stylist. Wednesdays off. Can I stack classes Wednesday? Need COS2200.,"{""preferred_days"": [""Wed""], ""time_blocks"": []}"
I volunteer at food bank Friday mornings. Schedule around that. Need HSC1000.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Sat""], ""time_blocks"": []}"
Personal trainer. Early mornings and evenings booked. Midday 11-3 free.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""11:00"", ""end"": ""15:00""}]}"
I work at a bank 8-5 M-F. Evening or Saturday classes. Need FIN3403.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
Flight attendant. Gone 3-4 days at a time. Online asynchronous only.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I teach preschool. Done at 2:30 PM. Afternoon classes after 3. Need EEC1001.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""15:00"", ""end"": ""22:00""}]}"
Construction superintendent. Sites quiet after 4 PM. Evening classes. BCN2405.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""16:00"", ""end"": ""22:00""}]}"
I ice skate competitively. Practice 5 AM and 4 PM. Midday only. Taking PEL1216.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""15:00""}]}"
Work at Home Depot 6 AM-3 PM. Late afternoon/evening. Need BCN1210.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""16:00"", ""end"": ""22:00""}]}"
Chronic migraines triggered by fluorescent lights. Online preferred. Taking PSY2012.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I work at a law firm 9-6. Evening paralegal classes. Need PLA2114.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""18:00"", ""end"": ""22:00""}]}"
My baby is colicky. Online flexible. Asynchronous only. Need EDF2005.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I clean houses mornings. Afternoon classes 2 PM or later. Looking for HMG2930.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""14:00"", ""end"": ""22:00""}]}"
I trade stocks 9:30-4 market hours. Evening or online. Need FIN3403.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
Seminary student. Chapel Wednesday 11 AM. Schedule around that. Need REL2240.,"{""preferred_days"": [""Mon"", ""Tue"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Real estate agent. Showings unpredictable. Online asynchronous. Need REE1040.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I work at animal control. Rotating shifts. Most flexible possible.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Grad school prep. Heavy humanities load T/Th. Need ENG3010 and PHI3601.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
I lifeguard 10-6 in summer. Morning classes. Need PEL1441.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""09:59""}]}"
Work night audit at hotel. Nothing before 1 PM. Looking for HFT3694.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""13:00"", ""end"": ""22:00""}]}"
I have severe ADHD. No 3-hour night classes. Shorter sessions only.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
IT consultant. On-call 24/7 but flexible. Prefer predictable T/Th schedule.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": []}"
I work at morgue. Overnight shifts. Day classes only. Need BSC2094.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""16:59""}]}"
Tattoo artist. Appointments unpredictable. Online asynchronous. Looking for ART2310.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I have a newborn. Online synchronous evenings after 8 PM when partner home.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""20:00"", ""end"": ""22:00""}]}"
Food truck owner. Lunch rush is death. No 10 AM-2 PM. Morning or evening.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""09:59""}, {""start"": ""17:00"", ""end"": ""22:00""}]}"
Massage therapist. Appointments scattered. Need most flexible. Taking PTA1200L.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I work at cemetery. Early mornings. Afternoon classes. Need HUM2020.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""16:59""}]}"
Wedding planner. Weekends slammed. Weekday only. Looking for EVP4624.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": []}"
I make TikToks. Prime posting 6-9 PM. Classes before or after. Need DIG2500.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""17:59""}, {""start"": ""21:00"", ""end"": ""22:00""}]}"
Line cook. Split shifts 10-2 and 5-close. Classes 2-5 PM only.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""14:00"", ""end"": ""17:00""}]}"
I work at a laundromat. Variable hours. Online preferred. Taking SBM4102.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Foster parent to three. Online only for flexibility. Need SYP4730.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Dental hygienist. T/Th patient days. MWF classes. Need DEH1800.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": []}"
I cater weekends. Prep is Friday. M-Th free. Need HMG1520.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu""], ""time_blocks"": []}"
Work at theme park. Crazy schedule. Online asynchronous. Looking for LEI4940.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I have chronic back pain. Need to get up and move. No 3-hour lectures.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Locksmith on call. Most flexible possible. Online. Need CJK0102.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
I sell at farmers market weekends. Weekday mornings. Need AGR2021.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Plumber's apprentice. Work 7-4. Evening classes. Taking BCN2720.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
I work at a dispensary. Shifts change weekly. Online preferred. Need BOT1010.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
Pest control. Appointments scattered. Asynchronous. Looking for PCO1001.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": []}"
